idIndividual,Meta_idMeta,Gender,Age_range,Occupation,WorkingHours,WorkRegularity,WorkHome,BillContributer,Income,UseDishwasher,UseWashingMachine,UseTumbleDryer,UseShower,UseVacuumCleaner,TimeMobile,TimeScreens,TimeCooking,TimeExercise,TimeOfDiary,Rushed,UnusualDay,DifficultyMeter,ConsentShare,EnergyInterest
1421,3456,2,1,1,1,1,1,3,6,1,4,6,5,1,1,5,1,4,0,NULL,NULL,NULL,0,4
1422,3457,2,3,3,4,3,5,1,3,1,4,4,5,1,5,6,4,4,0,NULL,NULL,NULL,0,2
1423,3459,1,3,1,1,1,3,2,5,1,4,4,5,1,3,6,3,5,0,NULL,NULL,NULL,0,2
1424,3458,1,1,1,1,1,1,3,6,1,1,1,5,1,1,4,1,4,0,NULL,NULL,NULL,0,2
1425,3526,1,1,6,6,4,6,4,6,1,1,1,5,1,1,5,1,4,0,NULL,NULL,NULL,0,3
1426,3523,1,1,1,1,4,1,3,6,5,4,4,5,1,6,3,3,2,0,NULL,NULL,NULL,0,5
1427,3525,1,1,1,6,4,6,3,6,5,2,2,5,1,6,4,2,3,0,NULL,NULL,NULL,0,3
1428,3437,1,3,2,4,2,3,1,4,5,4,1,5,3,4,6,4,3,0,NULL,NULL,NULL,0,2
1429,3435,2,3,2,4,2,3,1,6,1,1,1,5,1,5,4,4,3,0,NULL,NULL,NULL,0,3
1430,3436,2,1,1,2,1,1,3,6,1,1,1,3,1,1,2,1,4,0,NULL,NULL,NULL,0,3
1431,3453,1,3,2,4,1,3,1,4,1,1,1,5,1,6,6,3,3,0,NULL,NULL,NULL,0,3
1432,3452,2,3,2,3,1,2,1,4,6,5,4,6,1,5,6,3,2,0,NULL,NULL,NULL,0,3
1433,3442,1,4,5,0,0,0,2,6,5,4,3,5,3,1,5,5,3,0,NULL,NULL,NULL,0,1
1434,3443,2,4,5,0,0,0,2,2,4,2,1,5,2,6,6,2,3,0,NULL,NULL,NULL,0,1
1435,3486,1,3,2,3,1,4,1,3,1,5,1,5,4,5,6,4,4,0,NULL,NULL,NULL,0,2
1436,3483,2,3,2,4,2,2,2,4,1,3,1,6,1,4,6,4,4,0,NULL,NULL,NULL,0,1
1437,3485,1,1,1,6,4,6,4,6,1,1,1,1,1,4,4,1,4,0,NULL,NULL,NULL,0,1
1438,3484,1,1,1,6,4,6,3,6,1,1,1,3,1,4,4,1,3,0,NULL,NULL,NULL,0,4
1439,3476,2,4,2,4,1,3,1,4,1,1,1,4,1,6,6,4,4,0,NULL,NULL,NULL,0,1
1440,3478,1,1,1,2,1,1,3,1,1,1,1,5,1,6,5,1,3,0,NULL,NULL,NULL,0,1
1441,3479,1,1,6,1,1,6,3,6,5,5,1,4,1,3,3,3,4,0,NULL,NULL,NULL,0,1
1442,3477,2,6,6,6,4,6,4,6,3,1,1,5,1,6,6,3,5,0,NULL,NULL,NULL,0,6
1443,3475,1,3,2,3,1,3,1,4,2,2,1,5,2,4,6,6,4,0,NULL,NULL,NULL,0,1
1444,3466,1,4,5,0,0,0,2,6,1,3,1,5,1,4,4,5,3,0,NULL,NULL,NULL,0,1
1445,3465,1,4,5,0,0,0,1,6,1,2,1,5,1,4,4,5,3,0,NULL,NULL,NULL,0,1
1446,3493,1,4,2,3,3,3,2,3,4,2,1,6,1,4,5,4,5,0,NULL,NULL,NULL,0,2
1447,3494,2,4,2,5,2,3,1,5,4,2,1,5,1,5,5,4,4,0,NULL,NULL,NULL,0,2
1448,3482,2,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,6,0,NULL,NULL,NULL,0,2
1449,3480,2,3,2,3,1,1,1,3,3,2,1,4,3,2,4,3,2,0,NULL,NULL,NULL,0,2
1450,3481,1,3,2,4,1,3,1,5,4,3,1,5,3,4,4,4,5,0,NULL,NULL,NULL,0,2
1451,3446,1,2,2,4,3,3,1,5,4,5,2,5,3,6,6,4,4,0,NULL,NULL,NULL,0,3
1452,3447,2,2,2,4,1,1,1,5,2,2,1,5,2,5,5,2,3,0,NULL,NULL,NULL,0,2
1453,3444,1,2,5,4,1,0,2,3,1,2,1,5,2,6,4,5,3,0,NULL,NULL,NULL,0,1
1454,3445,2,2,2,4,1,2,1,4,1,1,1,6,2,5,3,4,5,0,NULL,NULL,NULL,0,1
1455,3454,2,3,2,4,1,3,1,5,4,2,1,6,2,4,6,1,4,0,NULL,NULL,NULL,0,2
1456,3472,1,4,4,3,3,4,1,3,1,2,1,1,2,5,4,5,6,0,NULL,NULL,NULL,0,1
1457,3441,1,2,2,3,1,1,2,3,5,5,3,5,1,6,4,4,2,0,NULL,NULL,NULL,0,2
1458,3471,1,3,2,4,2,1,1,4,1,3,1,5,4,4,6,4,4,0,NULL,NULL,NULL,0,1
1459,3439,2,2,2,5,1,3,1,5,4,3,1,5,3,4,6,3,2,0,NULL,NULL,NULL,0,1
1460,3440,1,3,6,6,4,6,1,6,4,3,1,5,3,6,6,3,2,0,NULL,NULL,NULL,0,1
1461,3495,1,4,3,2,3,2,1,4,3,3,3,4,2,5,5,5,4,0,NULL,NULL,NULL,0,2
1462,3464,2,4,2,3,2,4,1,2,2,3,1,4,1,4,6,4,3,0,NULL,NULL,NULL,0,1
1463,3438,1,1,1,3,1,1,3,1,1,1,1,3,2,2,1,1,2,0,NULL,NULL,NULL,0,2
1464,3469,1,4,2,4,1,1,1,2,2,3,1,1,2,4,6,2,5,0,NULL,NULL,NULL,0,1
1465,3468,2,1,1,6,4,6,3,1,1,1,1,5,1,5,4,1,4,0,NULL,NULL,NULL,0,3
1467,3461,1,4,3,4,1,4,1,5,5,4,1,6,1,4,6,4,3,0,NULL,NULL,NULL,0,1
1468,3462,2,3,2,4,1,3,1,5,4,4,1,6,4,3,6,6,3,0,NULL,NULL,NULL,0,1
1469,3473,1,3,2,4,3,2,1,5,5,5,1,5,2,6,6,4,4,0,NULL,NULL,NULL,0,1
1470,3474,2,2,3,5,2,4,1,5,6,6,1,6,2,6,6,4,4,0,NULL,NULL,NULL,0,3
1471,3451,1,2,2,4,1,1,1,2,2,3,1,6,2,6,6,3,4,0,NULL,NULL,NULL,0,1
1472,3450,1,2,2,4,1,2,2,3,2,3,1,6,2,6,3,2,2,0,NULL,NULL,NULL,0,3
1473,3448,1,4,2,3,1,1,1,3,1,1,1,4,2,3,5,5,4,0,NULL,NULL,NULL,0,1
1517,3640,1,2,2,4,3,3,1,5,4,4,2,5,1,6,6,4,4,0,NULL,NULL,NULL,0,3
1518,3641,2,2,2,4,1,1,1,5,2,2,1,6,1,5,6,2,2,0,NULL,NULL,NULL,0,2
1519,3678,1,4,4,4,3,3,1,3,1,2,1,2,2,5,5,4,6,0,NULL,NULL,NULL,0,2
1520,3630,2,2,2,5,1,2,1,5,3,2,1,6,1,4,6,2,2,0,NULL,NULL,NULL,0,2
1521,3629,1,3,6,6,4,6,1,6,4,1,1,5,4,3,3,3,2,0,NULL,NULL,NULL,0,1
1522,3632,2,3,2,4,1,2,1,5,1,1,1,5,1,6,6,2,2,0,NULL,NULL,NULL,0,3
1523,3633,1,2,2,1,1,1,2,4,5,5,1,6,2,6,4,4,2,0,NULL,NULL,NULL,0,2
1524,3654,2,3,2,4,1,3,1,5,5,2,1,6,2,5,4,3,3,0,NULL,NULL,NULL,0,2
1525,3686,2,1,1,1,4,1,3,1,1,1,1,2,1,1,3,2,6,0,NULL,NULL,NULL,0,2
1526,3687,2,3,2,3,1,1,2,3,3,3,1,4,3,3,4,3,3,0,NULL,NULL,NULL,0,2
1527,3676,1,3,2,4,2,1,1,4,1,2,1,5,2,3,2,4,4,0,NULL,NULL,NULL,0,1
1529,3626,2,3,2,4,2,3,2,4,1,1,1,5,1,5,4,4,4,0,NULL,NULL,NULL,0,3
1530,3624,1,1,1,2,1,1,3,6,1,1,1,4,2,2,1,1,3,0,NULL,NULL,NULL,0,2
1531,3625,2,1,1,3,1,1,3,1,1,1,1,4,3,2,2,1,3,0,NULL,NULL,NULL,0,2
1532,3627,1,3,2,4,1,3,2,3,5,5,1,5,3,4,3,4,3,0,NULL,NULL,NULL,0,3
1533,3700,1,4,2,4,1,2,1,4,4,3,1,5,4,1,6,3,4,0,NULL,NULL,NULL,0,2
1534,3699,2,4,2,4,3,4,2,4,3,1,1,5,3,1,6,6,6,0,NULL,NULL,NULL,0,2
1535,3684,1,1,1,1,1,1,3,1,1,1,1,5,1,4,3,2,4,0,NULL,NULL,NULL,0,1
1536,3682,2,4,2,4,3,3,1,4,1,1,1,2,1,4,6,3,3,0,NULL,NULL,NULL,0,1
1537,3683,1,3,2,4,1,3,1,5,3,3,1,5,2,3,6,4,3,0,NULL,NULL,NULL,0,1
1538,3652,2,3,2,3,1,2,1,4,5,4,3,5,3,5,6,3,3,0,NULL,NULL,NULL,0,2
1539,3688,1,3,2,4,1,2,1,5,4,4,1,5,4,4,4,3,4,0,NULL,NULL,NULL,0,3
1540,3622,2,2,3,5,2,4,1,5,5,5,1,6,1,6,6,3,3,0,NULL,NULL,NULL,0,3
1541,3621,1,3,2,4,3,2,2,5,4,4,1,5,1,6,6,4,4,0,NULL,NULL,NULL,0,1
1542,3674,1,3,2,4,1,3,1,5,3,2,1,5,2,6,6,4,4,0,NULL,NULL,NULL,0,1
1543,3666,1,4,3,4,4,4,1,5,5,4,1,5,1,5,6,4,3,0,NULL,NULL,NULL,0,1
1544,3665,2,1,1,1,4,6,3,1,1,1,1,5,1,5,4,1,5,0,NULL,NULL,NULL,0,2
1545,3672,1,4,4,2,2,1,2,6,1,2,1,5,1,5,3,4,3,0,NULL,NULL,NULL,0,1
1546,3671,1,4,5,0,0,0,1,6,1,3,1,4,1,5,4,4,3,0,NULL,NULL,NULL,0,1
1547,3638,1,2,2,4,2,2,2,3,1,3,1,5,2,6,3,4,2,0,NULL,NULL,NULL,0,1
1548,3639,2,2,2,4,1,2,1,4,1,1,1,5,2,4,4,4,5,0,NULL,NULL,NULL,0,2
1549,3697,2,6,6,2,4,3,3,6,1,1,1,2,1,2,2,1,2,0,NULL,NULL,NULL,0,2
1550,3659,1,3,2,4,2,3,1,5,1,5,5,5,1,4,6,5,6,0,NULL,NULL,NULL,0,3
1551,3657,2,1,1,1,1,1,3,1,1,1,1,5,1,4,4,1,5,0,NULL,NULL,NULL,0,2
1552,3660,1,1,1,1,1,1,3,1,1,1,1,5,1,4,3,1,5,0,NULL,NULL,NULL,0,2
1553,3658,2,3,3,4,3,5,2,3,1,3,3,5,1,5,6,3,4,0,NULL,NULL,NULL,0,2
1554,3647,1,2,2,4,3,3,1,4,2,3,1,5,3,6,6,4,4,0,NULL,NULL,NULL,0,4
1555,3649,1,3,2,4,1,1,1,3,3,3,1,5,3,6,6,5,2,0,NULL,NULL,NULL,0,1
1557,3695,2,6,6,2,1,6,4,6,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,6
1572,3693,2,3,2,4,2,2,2,4,1,4,1,6,2,4,6,4,4,0,NULL,NULL,NULL,0,2
1573,3691,1,1,1,1,4,1,3,6,1,1,1,1,1,1,2,1,2,0,NULL,NULL,NULL,0,3
1574,3690,1,1,1,3,2,4,3,6,6,4,1,3,1,2,2,2,5,0,NULL,NULL,NULL,0,1
